"","OBJECTID","LANESTART","LANEEND","SVLType","OperatingDay","StartingHourM","EndingHourM","EndingHourE","LanePositionNew","StartingHourE","Shape__Length"
"179",180,"End of Rosebank Rd eastbound on-ramp","Western end of Causeway eastbound bridge","BusOnly","Monday to Friday",6.3,9.3,NA,NA,NA,1032.84622624174
"180",181,"Coronation Rd northbound on-ramp","Rimu Rd northbound on-ramp","BusOnly","Monday to Friday",6.3,9.3,19,NA,15,1071.35412648277
"181",182,"Rimu Rd on-ramp","Onehunga northbound off-ramp","BusOnly","Monday to Friday",6.3,9.3,19,NA,15,661.415455783375
"182",183,"Onehunga  southbound on-ramp","Rimu Rd","BusOnly","Monday to Friday",6.3,9.3,19,NA,15,690.544973044434
"183",184,"Rimu Rd off-ramp","Walmsley Rd off-ramp","BusOnly","Monday to Friday",6.3,9.3,19,NA,15,1149.53851225133
"184",185,"Start of south on-ramp(Onewa)","End of ramp (Onewa)","BusOnly","24/7",NA,NA,NA,NA,NA,535.489429132611
"185",186,"65 m after Start of SB on-ramp (01N Constellation Drive,Glenfield,01N-0414-R2)","End of Ramp","T2,Truck&EV","24/7",NA,NA,NA,NA,NA,398.189558457808
"186",187,"Start of NB on-ramp (01N-0438-R4)","End of Ramp","T2,Truck&EV","24/7",NA,NA,NA,NA,NA,245.757236913301
"187",188,"Start of NB on-ramp","End of Ramp","T2,Truck&EV","24/7",NA,NA,NA,NA,NA,493.569548617206
"188",189,"Start of NB on-ramp","End of Ramp","BusOnly","24/7",NA,NA,NA,NA,NA,74.1743969494405
"189",190,"Start of Beaumount Street northbound on-ramp","End of Ramp","BusOnly","24/7",NA,NA,NA,NA,NA,236.887268075058
"190",191,"Start of NB on-ramp","End of Ramp","T2&EV","24/7",NA,NA,NA,NA,NA,380.886440539957
"191",192,"330 m after the start of SB on-ramp","End of Ramp","Truck Only","24/7",NA,NA,NA,NA,NA,245.824215231097
"192",193,"Ramp 5, WB on-ramp, 20 m East of Ramp 4 structure","End of Ramp","T2,Truck&EV","24/7",NA,NA,NA,NA,NA,308.25793571381
"193",194,"Ramp 6, EB loop, on-ramp, 60 m North of Ramp 4 structure","On Ramp (ramp 6), 90 m West of Ramp 3 structure","T2,Truck&EV","24/7",NA,NA,NA,NA,NA,586.763733304504
"194",195,"Start of EB on-ramp","End of Ramp","T2&Truck","24/7",NA,NA,NA,NA,NA,370.36792196214
"195",196,"Start of NB on-ramp (01N SEART,Mt Wellington,01N0437-R3)","End of Ramp","T2,Truck&EV","24/7",NA,NA,NA,NA,NA,428.005247777125
"196",197,"250 m after the Hobsonville Rd eastbound on-ramp","475 m after the Hobsonville Rd eastbound on-ramp","BusOnly","Monday to Friday",6.3,9.3,NA,NA,NA,453.269949183721
"197",198,"Constellation Bus Station","Akoranga Bus Station","BusOnly","24/7",NA,NA,NA,NA,NA,1678.51783714416
"198",199,"Constellation Bus Station","Akoranga Bus Station","BusOnly","24/7",NA,NA,NA,NA,NA,4456.05131685284
"199",200,"Start of northbound on-ramp","End of ramp","BusOnly","24/7",NA,NA,NA,NA,NA,439.086466780506
"200",202,"Start of northbound off-ramp","End of ramp","BusOnly","24/7",NA,NA,NA,NA,NA,65.6518134200458
"201",212,"Onewa on-ramp","Esmonde Off-ramp","BusOnly","Monday to Friday",NA,NA,19,NA,15,1001.17280798506
"202",216,"Broadway - Davies Crescent intersection","Maunsell Road","Bus","Monday to Friday",7,10,19,NA,16,259.065934730523
"203",219,"Akoranga Station","South of Onewa Interchange","BusOnly","24/7",NA,NA,NA,NA,NA,2314.76983945262
"204",232,"Stafford off ramp","Stafford on ramp","BusOnly","24/7",NA,NA,NA,NA,NA,327.638713314613
"205",233,"Dunrobin Pl","Gossamer Drive","T2","Monday to Friday",6,10,NA,"Kerbside",NA,1555.98468121504
"206",234,"Just south of Huruhuru Bridge","South of Royal Road off-ramp","BusOnly",NA,NA,NA,19,NA,15,912.5534125326
"207",235,"Royal Road on-ramp","Huruhuru Road bridge","BusOnly",NA,6.3,9.3,NA,NA,NA,1398.86817673759
"208",236,"Just north of Royal Road off-ramp diverge","Between Royal Road bridge and Westgate pedestrian bridge","BusOnly",NA,NA,NA,19,NA,15,668.840592132109
"209",237,"Between Westgate pedestrian bridge and Royal Road bridge","Just north of the Royal Road on-ramp merge","BusOnly",NA,6.3,9.3,NA,NA,NA,619.253213985397
"210",239,"Federal St","Queen St","Bus","24/7",NA,NA,NA,NA,NA,228.174613564194
"211",240,"Queen Street","Federal Street","Bus","24/7",NA,NA,NA,NA,NA,228.316633614699
"212",241,"Wellesley Street","Cook Street","Bus","24/7",NA,NA,NA,NA,NA,188.287586156068
"213",242,"Hobson Street","Queen Street","Bus","24/7",NA,NA,NA,NA,NA,400.850450773662
"214",243,"Queen Street","Vincent Street","Bus","24/7",NA,NA,NA,NA,NA,277.952142128825
"215",244,"Vincent Street","Poynton Terrace","Bus","24/7",NA,NA,NA,NA,NA,154.673968873788
"216",245,"Hobson Street","Nelson Street","Bus","24/7",NA,NA,NA,"Centre",NA,104.03154839248
"217",246,"Ponsonby Road","Pitt Street","Bus","Monday to Friday",7,10,19,NA,16,401.057344431536
"218",247,"East Street","Ponsonby Road","Bus","Monday to Friday",7,10,19,NA,16,474.056983577269
"219",252,"Wellesley St","Victoria St","Bus","24/7",NA,NA,NA,"Kerbside",NA,199.072886803486
"220",253,"400 Queen Street","Mayoral Drive","Bus","24/7",NA,NA,NA,"Centre",NA,26.7809902082825
