Road Name,Carriageway Start Name,Carriageway End Name,Location,Latest Count,Count Date,Peak Hour,Count Duration,ADT,Peak Traffic,Car (%),LCV (%),MCV (%),HCVI (%),HCVII (%),Bus (%),HCV Total (%),X Coordinate NZTM,Y Coordinate NZTM
TI RAKAU DR (EASTBOUND),GREENMOUNT DR,HUNTINGTON DR,3662,Yes,1023321600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1769447.2082,5911420.058
TI RAKAU DR (EASTBOUND),BOTANY RD,CHAPEL RD (LHS),4866,Yes,1098057600000,08:00,NA,11395,1290,88,9,1,1,NA,0,2,1770592.7487,5911246.6071
KIWI ESP,WOODWARD AVE (AT TEE),SHORTT AVE,488,Yes,1063584000000,NA,NA,1067,NA,98,1,1,0,0,0,1,1758684.1372,5910314.2937
KIWI ESP,SEAFORTH AVE (HYDRANT LHS),CHIPPING DALE,1710,Yes,1063584000000,NA,NA,1470,NA,91,3,4,2,0,0,6,1757669.182,5910262.422
KIWI ESP,CHIPPING DALE,YORKTON RISE,1935,Yes,810000000000,NA,NA,769,NA,86,8,3,2,1,0,6,1757484.9405,5910167.8925
KIWI ESP,SEALAND PL,ANDES AVE,2369,Yes,810345600000,NA,NA,251,NA,NA,NA,NA,NA,NA,NA,NA,1757077.6426,5910154.2645
SEAGROVE RD (WAIAU PA),MCKENZIE RD,CHURCH VIEW RD,100,Yes,1145404800000,17:00,NA,326,46,95,2,3,0,0,0,3,1756071.6378,5888995.9086
ELLERSLIE PANMURE HIGHWAY,BALLARAT ST,ALANA PL,19,Yes,1102291200000,NA,NA,22800,NA,95,3,0,1,1,0,2,1762390.0077,5914855.2196
ELLERSLIE PANMURE HIGHWAY,LUNN AVE,HARDING AVE,1786,Yes,610243200000,16:30,NA,35457,3152,NA,NA,NA,NA,NA,NA,NA,1764122.504,5914997.5308
ELLERSLIE PANMURE HIGHWAY,MOUNTAIN RD,MT WELLINGTON HIGHWAY,2073,Yes,968976000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1764395.2025,5914907.4668
ELLERSLIE PANMURE HIGHWAY,MT WELLINGTON HIGHWAY,FORGE WAY,2182,Yes,529200000000,07:30,NA,19113,2487,NA,NA,NA,NA,NA,NA,NA,1764499.4885,5914875.4615
PLEASANT VIEW RD,JELLICOE RD,PILKINGTON RD,88,Yes,1117238400000,NA,NA,2480,NA,96,0,3,0,NA,NA,3,1765092.7896,5914877.45
LAGOON DR,DOMAIN RD (END ISLAND LHS),LAGOON DR LLA (RP274 RHS),425,Yes,1255392000000,NA,NA,35130,NA,97,2,1,0,0,0,1,1765214.9593,5914373.0866
LAGOON DR,LAGOON DR LLA (RP274 RHS) END,CHURCH CRES (SUMP LHS),800,Yes,807408000000,17:15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1765326.1032,5914017.8372
QUEENS RD,BASIN VIEW LANE,END DIVIDED MEDIAN,324,Yes,1117756800000,NA,NA,16090,NA,95,1,2,1,0,NA,3,1765288.5076,5914621.5275
QUEENS RD,END DIVIDED MEDIAN,KINGS RD RAB,487,Yes,621734400000,08:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1765414.9023,5914516.4962
STANCOMBE RD,LORENZO WAY,KENSWAY DR,640,Yes,1126656000000,07:00,NA,8303,1147,93,1,3,2,1,0,6,1770549.4177,5907986.0007
STANCOMBE RD,CARLOS DR,TOPLAND DR,1334,Yes,1187827200000,16:00,NA,12176,1549,94,1,2,2,1,0,5,1771224.267,5907821.2554
PORCHESTER RD (PAPAKURA),RUSSELL AVE,GLENBURN PL,1192,Yes,1171411200000,NA,NA,10220,NA,96,1,2,0,NA,NA,2,1772172.1016,5897821.5452
PORCHESTER RD (PAPAKURA),WILLOW CAMP RD,KUAKA DR,1989,Yes,1234742400000,NA,NA,11582,NA,85,10,2,1,2,0,5,1771898.76,5898567.3214
PORCHESTER RD (PAPAKURA),KUAKA DR,PEERLESS AVE,2200,Yes,1276214400000,NA,7D,7764,NA,96,1,2,0,NA,NA,2,1771824.181,5898764.2313
INGRAM ST,PRICTOR ST,RENWICK ST,297,Yes,1194998400000,NA,NA,1246,NA,97,2,1,0,0,0,1,1773000.6387,5896868.7092
INGRAM ST,SNELL AVE,SHIRLEY AVE,482,Yes,1178323200000,NA,NA,642,NA,97,2,1,0,0,0,1,1773174.2726,5896930.7082
OLD WAIROA RD,PORCHESTER RD,VIEW RD,37,Yes,365644800000,11:00,NA,2494,349,86,8,3,2,1,0,6,1772590.9457,5897008.7426
OLD WAIROA RD,ARIMU PL,RENWICK ST,332,Yes,745632000000,18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1772867.7862,5897111.1494
OLD WAIROA RD,RENWICK ST,HALBERG ST,635,Yes,1204156800000,NA,NA,3040,NA,94,3,2,1,0,0,3,1773151.9858,5897216.7373
OLD WAIROA RD,HALBERG ST,SHIRLEY AVE,739,Yes,554515200000,17:00,NA,1924,264,86,8,3,2,1,0,6,1773249.6091,5897252.774
OLD WAIROA RD,YANG PL,COSGRAVE RD,1501,Yes,121392000000,17:00,NA,586,70,86,8,3,2,1,0,6,1773964.8076,5897517.0298
SUBWAY RD (PAPAKURA),GREAT SOUTH RD,PORCHESTER RD,100,Yes,1194998400000,NA,NA,9417,NA,92,1,6,1,0,0,7,1772585.9724,5896882.6623
WALTERS RD (PAPAKURA),CENTRE RAIL CROSSING,BRAEBURN PL,380,Yes,1036972800000,17:00,NA,5612,598,95,2,2,1,0,0,3,1771894.6281,5897956.1791
BEACH RD (HOWICK),GLENFERN RD RAB,MARINE PDE,736,Yes,1069891200000,NA,NA,2532,NA,NA,NA,NA,NA,NA,NA,NA,1772779.2778,5915375.7978
BEACH RD (HOWICK),UXBRIDGE RD,SELWYN RD,932,Yes,1134432000000,15:00,NA,2171,278,98,1,1,0,0,0,1,1772908.0471,5915228.8338
KENNEDY RD (WAIHEKE),ALISON RD,NELSON AVE,103,Yes,1005264000000,12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1781233.4634,5925954.5369
AYLESBURY ST,PEPLER ST RAB,AYLESBURY ST LINK (AT TEE),96,Yes,1018915200000,NA,NA,3386,NA,NA,NA,NA,NA,NA,NA,NA,1766635.6339,5913115.5765
BOTANY RD,VESCA PL,CASCADES RD,1425,Yes,829785600000,NA,NA,20620,NA,NA,NA,NA,NA,NA,NA,NA,1770537.7525,5912698.1605
BOTANY RD,SHEFFIELD PL,KURNELL DR,2400,Yes,617932800000,NA,NA,9901,NA,NA,NA,NA,NA,NA,NA,NA,1770873.69,5913597.86
BOTANY RD,KURNELL DR,LEXINGTON DR,2463,Yes,620006400000,16:00,NA,9437,1162,85,10,2,1,2,0,5,1770893.37,5913656.4
GREENMOUNT DR,PARKWOOD PL,HARRIS RD,792,Yes,907718400000,NA,NA,3650,NA,NA,NA,NA,NA,NA,NA,NA,1769250.98,5910708.95
HARRIS RD (EAST TAMAKI),CRYERS RD,GREENMOUNT DR,820,Yes,1023321600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1768850.72,5910737.01
MARRIOTT RD,CARDIFF RD,UDYS RD,190,Yes,1062288000000,NA,NA,1082,NA,NA,NA,NA,NA,NA,NA,NA,1767284.5315,5912510.9689
MATTSON RD,TI RAKAU DR,AUREA AVE,89,Yes,1087516800000,NA,NA,2078,NA,NA,NA,NA,NA,NA,NA,NA,1766814.6464,5912636.0746
PEPLER ST,BRAMPTON CRT (LIGHTPOLE RHS),AYLESBURY ST RAB,151,Yes,1018915200000,NA,NA,2462,NA,NA,NA,NA,NA,NA,NA,NA,1766642.0403,5913175.8991
REEVES RD,AYLESBURY ST,WILLIAM ROBERTS RD,280,Yes,857174400000,NA,NA,10181,NA,85,10,2,1,2,0,5,1766869.143,5913114.9903
REEVES RD,GLENSIDE AVE,CARDIFF RD,909,Yes,906076800000,NA,NA,11786,NA,NA,NA,NA,NA,NA,NA,NA,1767473.3482,5912991.2931
TIRAUMEA DR,TI RAKAU DR (KERBLINE),DOLPHIN ST,53,Yes,1306368000000,1700,NA,1824,233,97,1,1,1,0,0,2,1766703.0873,5912809.6527
WHEATLEY AVE,TI RAKAU DR,CUL-DE-SAC,30,Yes,1130025600000,16:00,NA,242,27,98,1,1,0,0,0,1,1767328.4255,5912158.0172
BURSWOOD DR,FERNBROOK CL,KALGAN PL,964,Yes,1272412800000,1700,7D,660,84,90,1,9,0,0,0,9,1768838.0852,5912374.8428
SOUTH EASTERN HWAY (WESTBOUND),TI RAKAU DR (RHS),WAIPUNA BRIDGE (1ST ABUTMENT),300,Yes,1179705600000,07:00,NA,30004,3947,96,1,2,1,0,0,3,1766409.2002,5912836.1713
BELLVILLE DR,FINLAYSON DR,BILL PHILLIP PL,40,Yes,1028246400000,NA,NA,968,NA,NA,NA,NA,NA,NA,NA,NA,1765308.2265,5900166.8193
BELLVILLE DR,BILL PHILLIP PL,ELOISE PL,170,Yes,1100649600000,18:00,NA,843,87,98,1,1,0,0,0,1,1765269.9421,5900045.967
BLEAKHOUSE RD,RIDGE RD,O'HALLORAN RD,80,Yes,1165708800000,08:00,NA,13404,1510,98,1,1,0,0,0,1,1771416.0409,5915322.767
BLEAKHOUSE RD,PATON RD,GILLS RD RAB,307,Yes,857174400000,NA,NA,9297,NA,NA,NA,NA,NA,NA,NA,NA,1771246.9075,5915476.7381
BLEAKHOUSE RD,GILLS RD RAB,ETHEREGE PL,573,Yes,1031356800000,NA,NA,9491,NA,NA,NA,NA,NA,NA,NA,NA,1771130.0272,5915686.4578
BLEAKHOUSE RD,ETHEREGE PL,HASELER CRES,678,Yes,897523200000,NA,NA,9080,NA,NA,NA,NA,NA,NA,NA,NA,1771173.4931,5915784.3844
BLEAKHOUSE RD,MACLEANS RD RAB,CHARLES DICKENS DR,1001,Yes,1093305600000,17:00,NA,4386,475,98,1,1,0,0,0,1,1771297.0323,5916064.3753
BRUCE RODERICK DR,OFFENHAUSER DR (NORTH),NEALES RD,449,Yes,1032912000000,NA,NA,627,NA,NA,NA,NA,NA,NA,NA,NA,1768222.2947,5910577.6659
CRYERS RD,CARPENTER RD,STONEDON DR,620,Yes,862358400000,NA,NA,5486,NA,NA,NA,NA,NA,NA,NA,NA,1768367.55,5911084.08
CARPENTER RD,CRYERS RD,NEALES RD,24,Yes,1032998400000,NA,NA,1227,NA,NA,NA,NA,NA,NA,NA,NA,1768361.7718,5911060.8536
CYCLAMEN RD,PUKAKI RD,CROSSANDRA DR (EAST),55,Yes,1246320000000,NA,7D,1393,NA,99,0,1,0,0,0,1,1760613.9318,5905793.5093
CYCLAMEN RD,CROSSANDRA DR (EAST),CROSSANDRA DR (WEST),90,Yes,1298592000000,1800,NA,1118,110,99,0,1,0,0,0,1,1760581.8668,5905807.9602
KIVELL CLOSE,ROBERTSON RD,KIVELL CL LOOP,20,Yes,1052265600000,NA,NA,1001,NA,NA,NA,NA,NA,NA,NA,NA,1760924.7935,5907489.252
ROBERTSON RD (MANGERE),KIVELL CL,BUCKLAND RD RAB,1522,Yes,863654400000,NA,NA,16415,NA,NA,NA,NA,NA,NA,NA,NA,1760910.0453,5907472.139
ROBERTSON RD (MANGERE),ASHLEY AVE,STEVEN ST,2166,Yes,863654400000,NA,NA,8861,NA,NA,NA,NA,NA,NA,NA,NA,1761366.13,5907047.77
MATARANGI RD,MATARANGI RD,LENEFORD DR,155,Yes,1330473600000,1100,NA,774,90,97,1,2,0,0,0,2,1769995.5803,5910537.5802
SNAVE PL,SMALES RD,REDCASTLE DR RAB,39,Yes,1030665600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1769446.6017,5909812.4489
SHRULE PL,SMALES RD,REDCASTLE DR RAB,25,Yes,1030665600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1769689.1161,5909874.9107
BAKERFIELD PL,GREAT SOUTH RD,GLADDING PL (FIRE HYDRANT),100,Yes,1079740800000,NA,NA,1912,NA,NA,NA,NA,NA,NA,NA,NA,1767683.8344,5904650.1922
RIDGEWAY RD,PARVIN PL,RIDGEWAY RD EXTN,189,Yes,1212537600000,15:00,NA,472,65,98,1,1,0,0,0,1,1769921.7489,5881703.9036
REYNOLDS RD,THE GLADE NORTH,BOB CRAIG PL,700,Yes,1266019200000,1700,7D,2638,321,95,1,3,1,0,0,4,1769729.0337,5882230.7687
REYNOLDS RD,EASTSIDE DR,VALLEY RD,1147,Yes,1292544000000,1700,NA,2496,299,95,2,2,1,0,0,3,1770134.3485,5882183.2237
PROSPECT TCE (PUKEKOHE),EAST ST,THE GLADE,59,Yes,1213920000000,17:00,NA,1618,184,98,1,1,0,0,0,1,1769560.2149,5881390.505
COURT TOWN CL,BADER DR RAB,COURT TOWN CL,18,Yes,1047945600000,NA,NA,1714,NA,NA,NA,NA,NA,NA,NA,NA,1760400.8649,5907078.4118
COURT TOWN CL,COURT TOWN CL,MIKASA PL,109,Yes,1308614400000,800,NA,509,101,93,4,1,2,0,0,3,1760424.2,5907164.7537
ORLY AVE,KILLINGTON CRES,STAVERTON CRES (NTH),403,Yes,1132790400000,18:00,NA,6600,585,97,0,2,1,0,0,3,1759782.1805,5906913.6048
SHELLY BAY RD,KARAKA RD,BEACHLANDS RD RAB,50,Yes,1022025600000,NA,NA,399,NA,NA,NA,NA,NA,NA,NA,NA,1778493.3084,5915659.5845
SHELLY BAY RD,PONY PARK PL,ARAMINTA PL,501,Yes,1285545600000,1700,7D,1432,181,89,2,8,1,0,0,9,1778624.2993,5916087.9538
BEACHLANDS RD,WHITFORD-MARAETAI RD RAB,BEACHLANDS/CONSTELLATION  RAB                                                                       ,19,Yes,1177891200000,17:00,NA,6790,762,94,2,3,1,0,0,4,1779322.9008,5915465.5948
BELLS RD,PAKURANGA RD,SIR LLOYD DR RAB,49,Yes,983491200000,NA,NA,1476,NA,NA,NA,NA,NA,NA,NA,NA,1769120.7737,5914330.1705
BELLS RD,SIR LLOYD DR RAB,LADY MARIE DR (LIGHTPOLE RHS),439,Yes,996796800000,NA,NA,2165,NA,NA,NA,NA,NA,NA,NA,NA,1769319.106,5914016.6816
SIR LLOYD DR,PAKURANGA RD,SIR LLOYD DR (RP 175),50,Yes,983318400000,NA,NA,1969,NA,NA,NA,NA,NA,NA,NA,NA,1769367.5023,5914494.4061
CASTLETON DR,MONTRESSOR PL,TOWBRIDGE PL,335,Yes,981244800000,NA,NA,781,NA,NA,NA,NA,NA,NA,NA,NA,1771630.6589,5915578.459
CHARLES DICKENS DR,BLEAKHOUSE RD,COPPERFIELD TCE,110,Yes,1031356800000,NA,NA,1425,NA,NA,NA,NA,NA,NA,NA,NA,1771427.2764,5916307.9618
HASELER CRES,BLEAKHOUSE RD,END,129,Yes,1064361600000,NA,NA,1160,NA,99,1,0,0,0,0,0,1771290.2378,5915744.4656
PATON RD,PINE TCE,VIDA PL,452,Yes,1055289600000,NA,NA,945,NA,NA,NA,NA,NA,NA,NA,NA,1770946.8331,5915139.6622
BRADBURY RD,GOSFORD DR,JAY CRT,1449,Yes,1058054400000,NA,NA,3269,NA,NA,NA,NA,NA,NA,NA,NA,1770150.1332,5913230.009
BRADBURY RD,JAY CRT,AVIEMORE DR,1558,Yes,830563200000,NA,NA,3275,NA,NA,NA,NA,NA,NA,NA,NA,1770057.0953,5913201.6565
UNION RD (HOWICK),YEOMAN PL,MOORE ST,267,Yes,898300800000,NA,NA,8643,NA,NA,NA,NA,NA,NA,NA,NA,1771782.6549,5913811.6984
UNION RD (HOWICK),WELLINGTON ST,PEGLER DR,674,Yes,898300800000,NA,NA,9657,NA,NA,NA,NA,NA,NA,NA,NA,1771406.2141,5913963.8788
BROADHURST RD,MCKITTRICK AVE RAB,QUATTRO AVE,237,Yes,1043971200000,NA,NA,323,NA,NA,NA,NA,NA,NA,NA,NA,1769676.3878,5906201.5813
MCKITTRICK AVE,BROADHURST RD RAB,KSENIA DR,29,Yes,1043971200000,NA,NA,656,NA,NA,NA,NA,NA,NA,NA,NA,1769549.4102,5906189.1458
BUCKLANDS BEACH RD,LOLOMA DR,RICHARD AVE,1639,Yes,1330041600000,800,NA,13912,1322,97,1,1,1,0,0,2,1770266.9853,5916353.9107
BUCKLANDS BEACH RD,WELLS RD,MACLEANS RD RAB,1945,Yes,906076800000,NA,NA,12362,NA,NA,NA,NA,NA,NA,NA,NA,1770341.04,5916652.31
BUCKLANDS BEACH RD,SEA SPRAY DR,TAKUTAI AVE,2426,Yes,906076800000,NA,NA,14214,NA,NA,NA,NA,NA,NA,NA,NA,1770113.61,5917019.78
BUCKLANDS BEACH RD,TAKUTAI AVE,LAINGS RD,2602,Yes,916617600000,NA,NA,14958,NA,NA,NA,NA,NA,NA,NA,NA,1770052.7735,5917177.8282
BUCKLANDS BEACH RD,VIVIAN WILSON DR,EASTERN BEACH RD,3013,Yes,1330473600000,800,NA,4938,1054,94,1,4,1,0,0,5,1769983.773,5917586.7951
OLIVER RD,QUEDLEY CRT,OLIVER RD,288,Yes,1060905600000,NA,NA,1055,NA,NA,NA,NA,NA,NA,NA,NA,1770429.5798,5917084.2241
OLIVER RD,OLIVER RD,EMBLING PL,387,Yes,983491200000,NA,NA,509,NA,NA,NA,NA,NA,NA,NA,NA,1770376.7373,5917170.5619
GLENMORE RD (PAKURANGA),WILLOW WAY,THE BOULEVARD,360,Yes,1130457600000,07:00,NA,409,57,98,1,1,0,0,0,1,1768004.8177,5914024.4554
GLENMORE RD (PAKURANGA),IMATRA PL,PADFIELD PL,556,Yes,1130457600000,15:00,NA,1759,197,97,1,1,1,0,0,2,1768052.9199,5914213.8641
BUTLEY DR,DRISCOLL PL,FORTUNES RD RAB,743,Yes,1330560000000,800,NA,9418,1340,97,1,1,1,0,0,2,1768978.8457,5914788.8075
FISHER PDE,FRATLEY AVE,SARAH PL,133,Yes,852076800000,NA,NA,6020,NA,NA,NA,NA,NA,NA,NA,NA,1768149.22,5915081.15
FISHER PDE,TREEWAY,THE BOULEVARD,1411,Yes,1121212800000,17:00,NA,861,101,96,1,3,0,0,0,3,1767357.4539,5914373.5795
CASCADES RD,PAKURANGA RD (LHS),ARCHMILLEN AVE,0,Yes,775353600000,NA,NA,9939,NA,NA,NA,NA,NA,NA,NA,NA,1768785.45,5914117.23
CASCADES RD,CASCADES RD BRIDGE (1ST ABUTMENT),CASCADES RD BRIDGE (2ND ABUTMENT),1482,Yes,1045699200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1769653.7334,5912963.1413
CASCADES RD,LOCHEND PL,AVIEMORE DR RAB,1617,Yes,774835200000,NA,NA,9887,NA,85,10,2,1,2,0,5,1769784.6641,5912929.766
CASCADES RD,SOLANA CRT,BOTANY RD,2204,Yes,761529600000,NA,NA,12450,NA,NA,NA,NA,NA,NA,NA,NA,1770331.1089,5912794.6135
CHURCH ST (OTAHUHU),FAIRBURN RD (LHS/AT TEE),HIGH ST RAB,583,Yes,1276905600000,NA,NA,6700,NA,76,7,13,4,0,0,17,1764510.6734,5909490.668
CLENDON AVE,PUHINUI RD,FREYBERG AVE,86,Yes,1083888000000,NA,NA,1921,NA,NA,NA,NA,NA,NA,NA,NA,1765264.6376,5904685.4299
CLENDON AVE,BALANCE AVE,SEDDON AVE,288,Yes,986774400000,NA,NA,3050,NA,NA,NA,NA,NA,NA,NA,NA,1765339.1408,5904497.603
GLASGOW AVE,CAVENDISH DR,ONSLOW AVE (TWIN POWERPOLE LHS),221,Yes,1042675200000,NA,NA,202,NA,85,2,7,5,1,0,13,1765631.2926,5904055.7422
GRAYSON AVE,CAVENDISH DR,BRETT AVE,132,Yes,793929600000,NA,NA,2150,NA,86,8,3,2,1,0,6,1766012.0678,5904646.4813
GRAYSON AVE,BRETT AVE,PUHINUI RD,459,Yes,998265600000,NA,NA,2890,NA,NA,NA,NA,NA,NA,NA,NA,1765889.1675,5904948.6356
JACK CONWAY AVE,CAVENDISH DR (KERBLINE),RYAN PL,221,Yes,1081987200000,NA,NA,3240,NA,95,1,3,1,0,0,4,1766993.9002,5904947.6024
MCLAUGHLINS RD,CUL DE SAC (NORTH),AEROVISTA PL,0,Yes,682128000000,NA,NA,1500,NA,NA,NA,NA,NA,NA,NA,NA,1764709.33,5903627.78
NORMAN SPENCER DR,MEPAL PL,LEITH CRT,110,Yes,682128000000,NA,NA,3250,NA,NA,NA,NA,NA,NA,NA,NA,1766287.5489,5904698.5266
NORMAN SPENCER DR,LEITH CRT,PUHINUI RD,516,Yes,1058659200000,NA,NA,3043,NA,NA,NA,NA,NA,NA,NA,NA,1766205.5963,5905091.5365
ONSLOW AVE (PAPATOETOE),GLASGOW AVE (TWIN POWERPOLE LHS),CUL DE SAC,14,Yes,986083200000,NA,NA,370,NA,NA,NA,NA,NA,NA,NA,NA,1765575.731,5903969.7094
RANFURLY RD (PAPATOETOE),FREYBERG AVE,PUHINUI RD,514,Yes,1253664000000,1700,NA,2031,202,97,1,2,0,0,0,2,1765583.1692,5904817.1441
GILLS RD (ALBANY),STATE HIGHWAY 17,BRIDGE,100,Yes,1312243200000,NA,7D,2508,NA,85,1,10,3,1,0,14,1751364.2623,5934451.8745
MAIORO ST,CORDELIA PL,ROSEVILLE ST,161,Yes,1153180800000,NA,NA,19274,NA,96,1,2,1,0,0,3,1753187.4173,5914200.532
ROSAMUND AVE,MAIORO ST,PETER MULGREW ST,91,Yes,1032566400000,1700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1753005.3955,5914059.9677
ROSAMUND AVE,PETER MULGREW ST,BANNISTER PL,208,Yes,1315353600000,NA,7D,650,NA,94,1,2,2,1,0,5,1753076.8362,5913968.5167
ROSAMUND AVE,BANNISTER PL,LABURNUM RD,302,Yes,580780800000,06:00,NA,486,64,86,8,3,2,1,0,6,1753125.5371,5913888.3387
ROSAMUND AVE,HAYCOCK AVE (AT TEE),BOUNDARY RD,805,Yes,1032739200000,1700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1753020.3277,5913513.1324
HAYCOCK AVE,WHITE SWAN RD,BATTERSBY AVE,77,Yes,1314144000000,NA,7D,1201,NA,95,1,1,3,0,0,4,1753394.5643,5913051.1142
LABURNUM RD,RICHARDSON RD,MERSEY PL,47,Yes,1150416000000,NA,NA,979,NA,99,0,1,0,0,0,1,1753373.113,5914126.5175
PETER MULGREW ST,NEW WINDSOR RD,HILLVIEW AVE,116,Yes,1315353600000,NA,7D,398,NA,73,5,1,19,2,0,22,1752942.6711,5913851.7482
JOHN DAVIS RD,RICHARDSON RD,SALLY CRES,70,Yes,1281744000000,NA,NA,2255,NA,89,4,5,2,0,0,7,1753560.9758,5913819.4825
JOHN DAVIS RD,SALLY CRES,WAYNE PL,188,Yes,794016000000,NA,NA,1847,NA,86,8,3,2,1,0,6,1753462.0364,5913759.8827
JOHN DAVIS RD,WAYNE PL,BARKES PL,297,Yes,1032566400000,0800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1753367.5308,5913713.3928
BOUNDARY RD (BLOCKHOUSE BAY),LANDSEER PL,DUNDEE PL,353,Yes,1030320000000,08:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1752861.5755,5913252.9536
NETHERTON ST,RICHARDSON RD,ROSEVILLE ST,70,Yes,1279584000000,NA,NA,807,NA,90,4,5,1,0,0,6,1753176.6254,5914465.8824
VALONIA ST,WHITTLE PL,BROTHERS ST (APEX),449,Yes,519523200000,07:30,NA,2594,340,86,8,3,2,1,0,6,1752883.912,5914421.6403
RICHARDSON RD (OWAIRAKA),NEW NORTH RD,ALLENDALE RD,50,Yes,586569600000,16:15,NA,10077,1021,NA,NA,NA,NA,NA,NA,NA,1752429.6094,5916010.0302
RICHARDSON RD (OWAIRAKA),PRESTON AVE,DUART AVE,333,Yes,1249516800000,NA,NA,8000,NA,97,2,1,0,0,0,1,1752605.4707,5915787.9065
RICHARDSON RD (OWAIRAKA),MAY RD,PENNEY AVE,3512,Yes,1150848000000,NA,NA,17904,NA,95,1,2,1,0,NA,3,1754157.4209,5913106.6161
KAWAKAWA-ORERE RD,KAWAKAWA BAY COAST RD,BANKS RD,0,Yes,869702400000,NA,NA,736,NA,NA,NA,NA,NA,NA,NA,NA,1793134.8171,5908674.5244
KAWAKAWA-ORERE RD,BERTRAM RD,SPEED DERESTRICTION,498,Yes,1194048000000,14:00,NA,970,149,91,4,4,1,0,0,5,1793373.6392,5908241.3354
KAWAKAWA-ORERE RD,SPEED DERESTRICTION,RENALLS BRIDGE (1ST ABUTMENT),516,Yes,1323043200000,1500,NA,901,162,92,4,3,1,0,0,4,1793386.5685,5908228.8839
ORERE POINT RD,ROWLANDS BRIDGE (1ST ABUTMENT),ROWLANDS BRIDGE (2ND ABUTMENT),1946,Yes,991872000000,NA,NA,513,NA,86,8,3,2,1,0,6,1799317.6056,5906630.3882
ORERE POINT RD,BAYS RD,HOWARD RD,2537,Yes,1038268800000,NA,NA,589,NA,NA,NA,NA,NA,NA,NA,NA,1799528.574,5907165.0607
EAST COAST RD,ORERE-MATINGARAHI RD (CULVERT),CITY BOUNDARY (MANHOLE RHS),2398,Yes,1332460800000,1100,NA,428,135,80,9,9,2,0,0,11,1803625.7697,5900915.4729
GREAT SOUTH RD (RAMARAMA),SH 22,BRIDGE (1ST ABUTMENT),32859,Yes,859852800000,09:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1772684.5194,5890857.7666
GREAT SOUTH RD (RAMARAMA),PITT RD (LHS),QUARRY RD,33690,Yes,1084579200000,NA,NA,2822,NA,82,2,3,4,9,0,16,1773232.5571,5890282.0351
GREAT SOUTH RD (RAMARAMA),LUMS ACCESS RD,SH 1 ON RAMP (START GUARD RAIL RHS),43459,Yes,1297641600000,1700,NA,3526,398,86,4,4,2,4,0,10,1776242.3855,5881587.3442
KAWAKAWA BAY COAST RD,KARAKA RD (POWERPOLE LHS),COULDREYS BRIDGE (1ST ABUTMENT),646,Yes,726278400000,NA,NA,1121,NA,NA,NA,NA,NA,NA,NA,NA,1793496.3138,5909124.1247
THORPS QUARRY RD,NORTH RD,END (RESERVE GATES),51,Yes,981244800000,NA,NA,108,NA,NA,NA,NA,NA,NA,NA,NA,1781362.8365,5904377.2215
MAGHERA DR,MELLEFONT CL,MACNEAN DR,175,Yes,1125964800000,17:00,NA,2634,311,98,1,1,0,0,0,1,1770635.038,5910364.2918
AARONVILLE WAY,BRITTAS PL,CHAPELTOWN DR,39,Yes,1081987200000,NA,NA,202,NA,NA,NA,NA,NA,NA,NA,NA,1770030.5604,5910140.8804
MATTHEWS RD,ASPIRING AVE,ALTA TCE,0,Yes,743472000000,NA,NA,9101,NA,85,10,2,1,2,0,5,1769189.04,5905160.37
FLAT BUSH SCHOOL RD,QUATTRO AVE,DONEGAL PARK DR,350,Yes,1204243200000,08:00,NA,2015,258,93,1,3,2,1,0,6,1769875.664,5906471.1707
FLAT BUSH SCHOOL RD,CRANFORD DR,MURPHYS RD,1591,Yes,988329600000,NA,NA,472,NA,86,8,3,2,1,0,6,1771075.5703,5906180.0074
FLAT BUSH SCHOOL RD,MURPHYS RD,GOLDEN AVE,1645,Yes,730512000000,16:00,NA,311,54,81,9,3,4,3,0,10,1771126.9044,5906168.7406
KILIMANJARO DR,CHAPEL RD,MATTERHORN CRES,0,Yes,761443200000,NA,NA,2163,NA,NA,NA,NA,NA,NA,NA,NA,1771190.41,5911887.11
ACCENT DR,CHAPEL RD,SAVONA DR,227,Yes,1141689600000,08:00,NA,6101,858,94,1,3,1,1,0,5,1769780.0528,5908283.2075
ACCENT DR,BEALE PL,REG SAVORY RD,733,Yes,1122681600000,15:00,NA,15103,1299,97,0,2,0,NA,0,2,1769433.1984,5908583.2656
