OBJECTID,IDENTIFIER,ROADNAME,STATUS,CONSTRUCTIONYEAR,Council_Board,TYPEOFFACILITY,Shape__Length
534,1406,Off-road shared path,Existing,NA,Hibiscus and Bays,Off-road shared path,744.710020131707
552,1427,Archibald Park,Existing,2016,Whau,Off-road shared path,812.018737967544
553,1427,Archibald Park,Existing,2016,Whau,Off-road shared path,68.8852356722194
554,4,Tamaki Drive,Existing,NA,Orakei,Off-road shared path,87.0163478811682
555,4,Tamaki Drive,Existing,NA,Orakei,Off-road shared path,118.089356667695
556,4,Tamaki Drive,Existing,NA,Orakei,Off-road shared path,0.927462774918134
557,4,Tamaki Drive,Existing,NA,Orakei,Off-road shared path,707.834569014942
558,1250,Dominion Road alternative,Existing,NA,Albert - Eden,Off-road shared path,611.133800858577
575,252,Dominion Road,Existing,2013,Waitemata,Off-road shared path,94.8267042462206
581,252,Dominion Road,Existing,2013,Albert - Eden,Off-road shared path,131.790170994644
582,NA,NA,Existing,NA,Albert - Eden,Off-road shared path,148.337256131315
588,NA,NA,Existing,NA,Waitemata,Off-road shared path,131.527240007372
591,NA,Ian McKinnon Drive,Existing,NA,Albert - Eden,Off-road shared path,54.1224519232138
592,NA,New North Rd,Existing,NA,Waitemata,Off-road shared path,153.714631387632
601,NA,Victoria Park,Existing,2018,Waitemata,Off-road shared path,203.603456697294
602,NA,Pitt Street,Existing,NA,Waitemata,Off-road shared path,403.770688307701
612,NA,NA,Existing,NA,Waitemata,Off-road shared path,330.049495575786
617,NA,Wolverton St,Existing,2014,Whau,Off-road shared path,312.064472869533
618,NA,Wolverton St,Existing,NA,Whau,Off-road shared path,469.314179719022
619,46,New Lynn to Avondale Path,Existing,2022,Whau,Off-road shared path,148.842078583805
621,473,Portage Road,Existing,2013,Whau,Off-road shared path,508.247967805227
623,NA,Waterview Shared Path,Existing,2017,Albert - Eden,Off-road shared path,1401.90802984138
624,NA,Margan Ave,Existing,2012,Whau,Off-road shared path,111.876234682181
625,NA,Rankin Ave,Existing,2012,Whau,Off-road shared path,427.976739640131
630,NA,NA,Existing,2010,Whau,Off-road shared path,176.561408803656
632,NA,Portage Rd,Existing,2013,Whau,Off-road shared path,98.3661321611625
633,NA,Margan Ave,Existing,2012,Whau,Off-road shared path,134.700998034049
637,NA,NA,Existing,2015,Whau,Off-road shared path,102.723628441366
638,NA,Wolverton St,Existing,NA,Whau,Off-road shared path,88.6115448762319
639,46,Western Rail Cycleway - New Lynn to Avondale Station,Existing,2010,Whau,Off-road shared path,189.893271019003
642,NA,Portage Rd,Existing,2013,Whau,Off-road shared path,127.429650297846
645,NA,Ken Maunder Park,Existing,2015,Whau,Off-road shared path,204.061138541043
646,NA,NA,Existing,2017,Albert - Eden,Off-road shared path,61.6019797422301
647,NA,Eric Armishawe Reserve,Existing,2016,Albert - Eden,Off-road shared path,882.499587028357
650,1293,Ken Maunder Park,Existing,2015,Whau,Off-road shared path,799.992755849202
651,NA,NA,Existing,NA,Albert - Eden,Off-road shared path,478.000179471716
